Type,Date,Deliv Date,Num,Source-Name,Job-Sales Number,Item,Qty,Rcvd,Cost-Price,Amount,Item-Description,Open-Balance,Other,QT1,QT2,AT
Purchase Order,2/24/23,7/28/23,54758,"American Feeding Systems, Inc.",GF12,2301-137Rev.3 (Bowl Feeder Assembly per AFS Quote 2301-137Rev.3),1,1,34286,0,Bowl Feeder Assembly per AFS Quote 2301-137Rev.3,0,GF12.600,,,
Purchase Order,2/27/23,4/14/23,54759,"WESCO Distribution, Inc",AF12/GF12,"PCLT-29B (PMA CONDUIT, 29mm, 50M ROLL)",0,0,876.92,0,"PMA CONDUIT, 29mm, 50M ROLL",0,,,,
Purchase Order,3/1/23,5/3/23,54764,"Maxcess Americas, Inc.",GF12,"270003470 (Air Shaft, Safety Chuck, IOdler Chuck:  Tidland Series 800 GX Ultra-Lightweight Exter...",0,0,19584.54,0,"Air Shaft, Safety Chuck, IOdler Chuck:  Tidland Series 800 GX Ultra-Lightweight External Element...",0,GF12.200,,,
Purchase Order,3/10/23,6/30/23,54792,CRAVE Technical,GF12,"GF12.001 (GF12 Main Control Panel, UL 508A, RAL 5005 powder coated)",1,1,15498,15498,"GF12 Main Control Panel, UL 508A, RAL 5005 powder coated",0,,,,
Purchase Order,3/10/23,6/30/23,54792,CRAVE Technical,GF12,"GF12.002 (GF12 Unwind Panel, UL 508A, Powder Coated RAL 5005)",1,1,3417,3417,"GF12 Unwind Panel, UL 508A, Powder Coated RAL 5005",0,,,,
Purchase Order,3/10/23,6/30/23,54792,CRAVE Technical,GF12,"GF12.003 (GF12 Spout Station I/O Enclosure, UL 508A, Powder Coated RAL 5005)",1,1,1323,1323,"GF12 Spout Station I/O Enclosure, UL 508A, Powder Coated RAL 5005",0,,,,
Purchase Order,3/10/23,6/30/23,54792,CRAVE Technical,GF12,"GF12.004 (GF12 Side Seal Station I/O Enclosure, UL 508A, Powder Coated RAL 5005)",1,1,1323,1323,"GF12 Side Seal Station I/O Enclosure, UL 508A, Powder Coated RAL 5005",0,,,,
Purchase Order,3/10/23,6/30/23,54792,CRAVE Technical,GF12,"GF12.005 (GF12 Cross Seal Station I/O Enclosure, UL 508A, Powder Coated RAL 5005)",1,1,1323,1323,"GF12 Cross Seal Station I/O Enclosure, UL 508A, Powder Coated RAL 5005",0,,,,
Purchase Order,3/10/23,6/30/23,54792,CRAVE Technical,GF12,"GF12.006 (GF12 Cap Insert I/O Enclosure, UL 508A, Powder Coated RAL 5005)",1,1,1323,1323,"GF12 Cap Insert I/O Enclosure, UL 508A, Powder Coated RAL 5005",0,,,,
Purchase Order,3/10/23,6/30/23,54792,CRAVE Technical,GF12,"GF12.007 (GF12 Spout Feeder Enclosure, UL508A, Powder Coated RAL 5005)",1,1,3614,3614,"GF12 Spout Feeder Enclosure, UL508A, Powder Coated RAL 5005",0,,,,
Purchase Order,3/10/23,6/30/23,54792,CRAVE Technical,GF12,"GF12.008 (GF12 Cap Feeder Enclosure, UL508A, Powder Coated RAL 5005)",1,1,3614,3614,"GF12 Cap Feeder Enclosure, UL508A, Powder Coated RAL 5005",0,,,,
Purchase Order,3/10/23,6/30/23,54792,CRAVE Technical,GF12,"GF12.009 (GF12 HMI Panel, Powder Coated RAL 5005)",1,1,955,955,"GF12 HMI Panel, Powder Coated RAL 5005",0,,,,
Purchase Order,3/15/23,6/8/23,54800,"AAP Automation, Inc.",GF12,CKR-090-NN-1-1496mm (BRL Belt Drive Actuator - 1496mm OAL  L Dimension - 1496mm  MG10 stub shaft...,1,1,6260.44,6260.44,BRL Belt Drive Actuator - 1496mm OAL  L Dimension - 1496mm  MG10 stub shaft on left  001 Main bo...,0,GF12.700,,,
Purchase Order,3/16/23,3/16/23,54804,Acrolab LTD,GF12,Contract Eng-Mechanical (Contracted Mechanical Engineering),1,1,1000,1000,Contracted Mechanical Engineering,0,,,,
Purchase Order,3/16/23,3/16/23,54804,Acrolab LTD,GF12,TBD (Misc),7,7,262.68,1838.76,Misc,0,TBD,,,
Purchase Order,3/16/23,3/16/23,54804,Acrolab LTD,GF12,TBD (Misc),6,6,254.8,1528.8,Misc,0,TBD,,,
Purchase Order,3/16/23,3/16/23,54804,Acrolab LTD,GF12,TBD (Misc),7,7,68,476,Misc,0,TBD,,,
Purchase Order,3/16/23,3/16/23,54804,Acrolab LTD,GF12,TBD (Misc),3,3,98,294,Misc,0,TBD,,,
Purchase Order,3/16/23,3/16/23,54804,Acrolab LTD,GF12,TBD (Misc),26,26,45.75,1189.5,Misc,0,TBD,,,
Purchase Order,3/16/23,3/16/23,54804,Acrolab LTD,GF12,TBD (Misc),26,26,4.25,110.5,Misc,0,TBD,,,
Purchase Order,3/16/23,3/16/23,54804,Acrolab LTD,GF12,Misc (Misc Item),1,1,35,35,Misc Item,0,,,,
Purchase Order,3/20/23,6/26/23,54809,Bonnell Aluminum,GF12,Misc (Misc Item),1,0,2500,2500,Misc Item,2500,,,,
Purchase Order,3/20/23,6/26/23,54809,Bonnell Aluminum,GF12,TBD (Misc),64,64,35.33,2261.12,Misc,0,,,,
Purchase Order,3/22/23,3/22/23,54814,Fiero Automation,GF12,GL-9089 (Beijer E/IP Bus Coupler),0,0,243,0,Beijer E/IP Bus Coupler,0,TBD,,,
Purchase Order,3/22/23,3/22/23,54814,Fiero Automation,GF12,GT-12DF (Beijer 16-channel digital input),0,0,90,0,Beijer 16-channel digital input,0,TBD,,,
Purchase Order,3/22/23,3/22/23,54814,Fiero Automation,GF12,GF-228F (Beijer 16-channel digital output),0,0,105,0,Beijer 16-channel digital output,0,TBD,,,
Purchase Order,3/22/23,3/22/23,54814,Fiero Automation,GF12,GT-3804 (Beijer 4-channel thermocouple input),0,0,224,0,Beijer 4-channel thermocouple input,0,TBD,,,
Purchase Order,3/22/23,3/22/23,54818,ProAutomation,GF12,ARIO-C-EI (Autonics E/IP Bus Coupler),6,6,414.17,2485.02,Autonics E/IP Bus Coupler,0,TBD,,,
Purchase Order,3/22/23,3/22/23,54818,ProAutomation,GF12,ARIO-P-B (Autonics Power supply),6,6,87.5,525,Autonics Power supply,0,TBD,,,
Purchase Order,3/22/23,3/22/23,54818,ProAutomation,GF12,ARIO-S-DI08P (Autonics 8-channel digital input),20,20,85,1700,Autonics 8-channel digital input,0,TBD,,,
Purchase Order,3/22/23,3/22/23,54818,ProAutomation,GF12,ARIO-S-DO08P (Autonics 8-channel digital output),20,20,110.83,2216.6,Autonics 8-channel digital output,0,TBD,,,
Purchase Order,3/22/23,3/22/23,54818,ProAutomation,GF12,ARIO-S-AI04TC (Autonics 4-channel thermocouple input),8,8,369.17,2953.36,Autonics 4-channel thermocouple input,0,TBD,,,
Purchase Order,3/27/23,3/31/23,54821,Automation Direct,GF12,"SG3A0015KB (Hammond general purpose transformer, open core, 15 kVA, 3-phase, 480 VAC Delta prima...",1,1,1425,1425,"Hammond general purpose transformer, open core, 15 kVA, 3-phase, 480 VAC Delta primary, 208Y/120...",0,TBD,,,
Purchase Order,3/27/23,3/31/23,54822,Radwell International,GF12,R911306775 (BRC HNL01.1E-1000-N0012-A-500-NNNN CHOKE),1,1,325,325,BRC HNL01.1E-1000-N0012-A-500-NNNN CHOKE,0,TBD,,,
Purchase Order,3/27/23,3/31/23,54822,Radwell International,GF12,FreightCharge (Vendor Incoming Freight Charges),1,1,15,15,Vendor Incoming Freight Charges,0,N/A,,,
Purchase Order,3/27/23,3/31/23,54822,Radwell International,GF12,FreightCharge (Vendor Incoming Freight Charges),1,1,37.15,37.15,Vendor Incoming Freight Charges,0,N/A,,,
Purchase Order,3/27/23,3/31/23,54822,Radwell International,GF12,SalesTax (Vendor Sales Tax Charged),1,1,19.36,19.36,Vendor Sales Tax Charged,0,N/A,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-60XEL6124LP (Saginaw 2DR XEL Enclosure, 60H X 61W X 24D, RAL5005 Blue)",1,1,2446.17,2446.17,"Saginaw 2DR XEL Enclosure, 60H X 61W X 24D, RAL5005 Blue",0,GF12.001 Main Control Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-60P60GALV (SCE-Subpanel, Bent, Galvanized)",1,1,318.34,318.34,"SCE-Subpanel, Bent, Galvanized",0,GF12.001 Main Control Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-30EL2416LPPL (Saginaw EL LPPL Enclosure, 30H X 24W X 16D, RAL5005 Blue)",1,1,438.17,438.17,"Saginaw EL LPPL Enclosure, 30H X 24W X 16D, RAL5005 Blue",0,GF12.002 Unwind Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-30P24GALV (SUB-PANEL, 27H x 21W, GALVANIZED)",1,1,55.46,55.46,"SUB-PANEL, 27H x 21W, GALVANIZED",0,GF12.002 Unwind Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-L9308ELJW (Saginaw ELJ Trough Window Enclosure, 9H X 30W X 8D, RAL5005)",2,2,242.83,485.66,"Saginaw ELJ Trough Window Enclosure, 9H X 30W X 8D, RAL5005",0,GF12.003 Spout Station I/O En,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-9P30LGALV (Saginaw Subpanel, ELJ Trough Galvenized, 8H X 29W X 0.08D)",2,2,30.63,61.26,"Saginaw Subpanel, ELJ Trough Galvenized, 8H X 29W X 0.08D",0,GF12.003 Spout Station I/O En,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-L9308ELJW (Saginaw ELJ Trough Window Enclosure, 9H X 30W X 8D, RAL5005)",2,2,242.83,485.66,"Saginaw ELJ Trough Window Enclosure, 9H X 30W X 8D, RAL5005",0,GF12.004 Side Seal Station I/,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-9P30LGALV (Saginaw Subpanel, ELJ Trough Galvenized, 8H X 29W X 0.08D)",2,2,30.63,61.26,"Saginaw Subpanel, ELJ Trough Galvenized, 8H X 29W X 0.08D",0,GF12.004 Side Seal Station I/,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-L9308ELJW (Saginaw ELJ Trough Window Enclosure, 9H X 30W X 8D, RAL5005)",2,2,242.83,485.66,"Saginaw ELJ Trough Window Enclosure, 9H X 30W X 8D, RAL5005",0,GF12.006 Cap Insert I/O Enclo,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-9P30LGALV (Saginaw Subpanel, ELJ Trough Galvenized, 8H X 29W X 0.08D)",2,2,30.63,61.26,"Saginaw Subpanel, ELJ Trough Galvenized, 8H X 29W X 0.08D",0,GF12.006 Cap Insert I/O Enclo,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-24EL2412LPPL (Saginaw EL LPPL Enclosure, 24H X 24W X 12D, RAL5005 Blue)",1,1,369.55,369.55,"Saginaw EL LPPL Enclosure, 24H X 24W X 12D, RAL5005 Blue",0,GF12.007 Spout Feeder Enclosu,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-24EL2412LPPL (Saginaw EL LPPL Enclosure, 24H X 24W X 12D, RAL5005 Blue)",1,1,369.55,369.55,"Saginaw EL LPPL Enclosure, 24H X 24W X 12D, RAL5005 Blue",0,GF12.008 Cap Feeder Enclosure,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,SCE-16HMI2006LP,1,1,367.49,367.49,,0,GF12.009 HMI Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-SA310TMJ (SCE - Top Mounted Joint, 310 Swivel)",1,1,236.03,236.03,"SCE - Top Mounted Joint, 310 Swivel",0,GF12.009 HMI Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,SCE-SA20TC (SCE - Closed Tube Suspension Profile),1,1,67.28,67.28,SCE - Closed Tube Suspension Profile,0,GF12.009 HMI Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,SCE-SA90A,1,1,92.37,92.37,,0,GF12.009 HMI Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,SCE-SA360C,1,1,116.45,116.45,,0,GF12.009 HMI Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,SCE-AUHK,1,1,32.15,32.15,,0,GF12.009 HMI Panel,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-L9308ELJW (Saginaw ELJ Trough Window Enclosure, 9H X 30W X 8D, RAL5005)",2,2,242.83,485.66,"Saginaw ELJ Trough Window Enclosure, 9H X 30W X 8D, RAL5005",0,GF12.005 Cross Seal Station I,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-9P30LGALV (Saginaw Subpanel, ELJ Trough Galvenized, 8H X 29W X 0.08D)",2,2,30.63,61.26,"Saginaw Subpanel, ELJ Trough Galvenized, 8H X 29W X 0.08D",0,GF12.005 Cross Seal Station I,,,
Purchase Order,3/28/23,3/28/23,54826,ProAutomation,GF12,"ARIO-S-AI04V2 (Autonics 4-channel analog input, 0-10vdc)",2,2,269.12,538.24,"Autonics 4-channel analog input, 0-10vdc",0,TBD,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-24P24GALV (Saginaw Subpanel, Bent Galvanized, 21H X 21W X 0.88D)",1,1,46.6,46.6,"Saginaw Subpanel, Bent Galvanized, 21H X 21W X 0.88D",0,GF12.007 Spout Feeder Enclosu,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,"SCE-24P24GALV (Saginaw Subpanel, Bent Galvanized, 21H X 21W X 0.88D)",1,1,46.6,46.6,"Saginaw Subpanel, Bent Galvanized, 21H X 21W X 0.88D",0,GF12.008 Cap Feeder Enclosure,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,Misc (Misc Item),1,1,180,180,Misc Item,0,N/A,,,
Purchase Order,3/28/23,3/28/23,54826,ProAutomation,GF12,Expedite Charges (Expedite Charges),1,1,40,40,Expedite Charges,0,N/A,,,
Purchase Order,3/28/23,4/28/23,54824,Saginaw Control & Engineering,GF12,SCE-SA30TC (SCE - Closed Tube Suspension Profile),1,1,126.23,126.23,SCE - Closed Tube Suspension Profile,0,GF12.009 HMI Panel,,,
Purchase Order,3/29/23,3/29/23,54828,ProAutomation,GF12,"SRH1-1410-N (Autonics SSR, Intergrated Heatsink, Single phase, Input 4-30VDC, Load 48-480VAC, 10...",20,20,27,540,"Autonics SSR, Intergrated Heatsink, Single phase, Input 4-30VDC, Load 48-480VAC, 10A, Zero cross.",0,TBD,,,
Purchase Order,3/29/23,3/29/23,54828,ProAutomation,GF12,Expedite Charges (Expedite Charges),1,1,90,90,Expedite Charges,0,N/A,,,
Purchase Order,3/31/23,6/9/23,54832,Double E Company LLC,GF12,STSR-2000 (Strip style shaft made from steel tubing and hardened steel journals  SHAFT DIA 2in N...,3,3,1777,5331,"Strip style shaft made from steel tubing and hardened steel journals  SHAFT DIA 2in Nom, 1.93in ...",0,GF12 Segmented Nip Rollers,,,
Purchase Order,3/31/23,6/9/23,54832,Double E Company LLC,GF12,"SRL-2500 (Ultra lightweight, strip style shaft made from an aluminum housing  and hardened steel...",2,2,2779,5558,"Ultra lightweight, strip style shaft made from an aluminum housing  and hardened steel journals ...",0,GF12.200,,,
Purchase Order,3/31/23,6/9/23,54832,Double E Company LLC,GF12,SP100/F1/iU38.1 (Drive Safety Chuck  Flange Mount  iU38.1mm (1.5in)  Replaceable Inserts  SPINDL...,2,2,2327,4654,Drive Safety Chuck  Flange Mount  iU38.1mm (1.5in)  Replaceable Inserts  SPINDLE DIAMETER: 2.00i...,0,GF12.200,,,
Purchase Order,3/31/23,6/9/23,54832,Double E Company LLC,GF12,SP100/F0/iU38.1 (Idler Safety Chuck),2,2,2025,4050,Idler Safety Chuck,0,GF12.200,,,
Purchase Order,4/5/23,7/6/23,54841,"Pearl Technologies, Inc.",GF12,"SCR-1.65P/1-CX (Custom Punch, Round, 1.65"" OD Max, Piranha, 1"" OAL 7/16-20 Mount Thread with (4)...",4,4,280,1120,"Custom Punch, Round, 1.65"" OD Max, Piranha, 1"" OAL 7/16-20 Mount Thread with (4) .250"" Vent Holes",0,GF12.240,,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,"CDM2WF32-50AZ-XC38 (SMC Air Cylinder, Double Acting Double Rod, Rod Thru Hole Spec)",2,2,92.13,184.26,"SMC Air Cylinder, Double Acting Double Rod, Rod Thru Hole Spec",0,GF12.240,,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,"CDM2WL32-125Z-XC38 (SMC Air Cylinder, Double Acting Double Rod, Rod Thur Hole Spec)",2,2,91.1478,182.3,"SMC Air Cylinder, Double Acting Double Rod, Rod Thur Hole Spec",0,"GF12.650, .660",,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,CDQ2A20-25DMZ (SMC Air Cylinder),4,4,24.9553,99.82,SMC Air Cylinder,0,GF12.240,,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,CDQ2WB50-75DZ (SMC Air Cylinder),4,4,91.715,366.86,SMC Air Cylinder,0,GF12.340,,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,CDQMA32-25 (SMC Air Cylinder),1,1,75.8205,75.82,SMC Air Cylinder,0,GF12.140,,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,CY1L40L-250B (SMC Rodless Air Actuator),2,2,1019.8487,2039.7,SMC Rodless Air Actuator,0,GF12.332,,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,JT20 (SMC Floating Joint M8 thread),4,4,24.9415,99.77,SMC Floating Joint M8 thread,0,"GF12.650, .660",,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,"MIW25-25D (2 Finger Escapement	)",4,4,353.1097,1412.44,"2 Finger Escapement	",0,"GF12.340, .650, .660",,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,MY1C20-300L (SMC Rodless Pneumatic Actuator),2,2,428.9302,857.86,SMC Rodless Pneumatic Actuator,0,GF12.340,,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,MY3B25-300H (SMC Rodless Pneumatic Actuator),2,2,320.6152,641.23,SMC Rodless Pneumatic Actuator,0,"GF12.650, .660",,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,NCDMC125-1000 (SMC AIR CYL. 1-1/4 BORE),4,4,57.9755,231.9,SMC AIR CYL. 1-1/4 BORE,0,GF12.210,,,
Purchase Order,4/26/23,7/27/23,54862,"AAP Automation, Inc.",GF12,NCQ2B80-25DM (SMC Air Cylinder),10,10,75.5853,755.85,SMC Air Cylinder,0,"GF12.130, GF12.230",,,
Purchase Order,5/11/23,7/31/23,54883,"AAP Automation, Inc.",GF12,ITV2050-SEN-2-DUX02357 (SMC 0.9 MPa Ethernet/IP ITV),0,0,1002.9167,0,SMC 0.9 MPa Ethernet/IP ITV,0,,,,
Purchase Order,5/15/23,7/7/23,54893,"AAP Automation, Inc.",GF12,R911173397 (BRC XFE01.1-FB-03 BUS ADAPTOR),1,1,1233.1843,1233.18,BRC XFE01.1-FB-03 BUS ADAPTOR,0,TBD,,,
Purchase Order,5/15/23,7/7/23,54893,"AAP Automation, Inc.",GF12,"R911370638 (BRC PLC, XM2200.01-01-31-31-301-NN-101NNNN)",1,1,4261.5113,4261.51,"BRC PLC, XM2200.01-01-31-31-301-NN-101NNNN",0,TBD,,,
Purchase Order,5/31/23,7/26/23,54911,Fiero Automation,GF12,01200410 (Tolomatic 12mm 1:1 Right Angle Gearbox),2,2,339.04,678.08,Tolomatic 12mm 1:1 Right Angle Gearbox,0,GF12.250,,,
Purchase Order,5/31/23,7/26/23,54911,Fiero Automation,GF12,"ND8-24-20-B-102-LT-IP65 (NOOK Linear Acme Screw Actuator, 102mm Travel)",2,2,946.12,1892.24,"NOOK Linear Acme Screw Actuator, 102mm Travel",0,GF12.212,,,
