Type,Date,Num,Source-Name,Part-Num,Item-Description,Location,Unit-Qty,Unit-Price,Cost,Cat1
<Stock>,,,,1029591,"D-PT 1,5/S-QUATTRO-0,8 OG, END-COVER, OG",007.307,3.0,0.0,0.0,Spout Station
<Stock>,,,,1029591,"D-PT 1,5/S-QUATTRO-0,8 OG, END-COVER, OG",008.307,3.0,0.0,0.0,Cap Station
<Stock>,,,,1043700,"MEMORY PLUG FOR FLEXISOFT FX3-CPU, FX3-MPL000001",001.386,1.0,0.0,0.0,Main Controls
<Stock>,,,,1043784,"SAFETY PLC, FLEXISOFT, FX3-CPU130002, EFI CAPABLE",001.385,1.0,0.0,0.0,Main Controls
<Stock>,,,,1044072,"GATEWAY, ETHERNET/IP, FLEXISOFT, FOR FX3-CPU, FX0-GENT00000",001.360,1.0,0.0,0.0,Main Controls
<Stock>,,,,1044124,"SAFE DIGITAL INPUTS, FLEXISOFT, 8-CHANNEL, FX3-XIDI80002",001.387,1.0,0.0,0.0,Main Controls
<Stock>,,,,1044125,"SAFE DIGITAL COMBI, FLEXISOFT, 8-CHANNEL IN, 4-CHANNEL OUT, FX3-XIIO84002",001.388,1.0,0.0,0.0,Main Controls
Purchase Order,2023-08-14,55054.0,"AAP Automation, Inc.",1059450,Sick MPA 251THTP0 Linear Sensor,216.302,2.0,464.0,928.0,Unwind/Punch Station
<Stock>,,,,1075896,VAL-US-277/80/3+0-FM - Type 1 surge protection device,001.368,1.0,0.0,0.0,Main Controls
Purchase Order,2023-07-21,55004.0,McMaster-Carr Supply Co.,1079N511,"Encased Neodymium Magnet with Threaded Stud, 5 mm Thick, 10 mm OD",<Extra>,1.0,7.57,7.57,
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,1079N511,"Encased Neodymium Magnet with Threaded Stud, 5 mm Thick, 10 mm OD",<Extra>,8.0,7.57,60.56,
<Stock>,,,,1085039,FL SWITCH 1005N - Industrial Ethernet Switch,001.369,2.0,0.0,0.0,Main Controls
<Stock>,,,,1085254,"1105N, 5-Port 10/100/1000Tx Port Industrial Ethernet Switch",007.321,1.0,0.0,0.0,Spout Station
<Stock>,,,,1085254,"1105N, 5-Port 10/100/1000Tx Port Industrial Ethernet Switch",008.321,1.0,0.0,0.0,Cap Station
<Stock>,,,,1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",001.389,1.0,0.0,0.0,Main Controls
<Stock>,,,,1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",002.330,1.0,0.0,0.0,Unwind/Punch Station
<Stock>,,,,1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",003.325,1.0,0.0,0.0,Spout Station
<Stock>,,,,1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",004.315,1.0,0.0,0.0,Side Seal Station
<Stock>,,,,1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",005.317,1.0,0.0,0.0,Cross Seal Station
<Stock>,,,,1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",006.321,1.0,0.0,0.0,Cap Station
<Stock>,,,,1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",007.312,1.0,0.0,0.0,Spout Station
<Stock>,,,,1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",008.312,1.0,0.0,0.0,Cap Station
Purchase Order,2023-12-27,55339.0,"AAP Automation, Inc.",1095578,SICK AS30-EBM534I220A00000C000ZZZ PRIME,,2.0,946.0,1892.0,
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,1095K23,1095K23_Zinc-Plated Steel Grease Fitting 1/8 NPT,130.328,12.0,0.885,10.620000000000001,Main Frame
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,1095K23,1095K23_Zinc-Plated Steel Grease Fitting 1/8 NPT,230.325,8.0,0.885,7.08,Unwind/Punch Station
Purchase Order,2023-10-09,55198.0,McMaster-Carr Supply Co.,1095K23,1095K23_Zinc-Plated Steel Grease Fitting 1/8 NPT,<Extra>,10.0,0.885,8.85,
<Stock>,,,,111010-02,"thermostat, adjustable, N.O. (close on rise) 20 to 80 deg C, 7K switching differential, 35mm DIN rail mount, for electrical enclosure climate control.",001.390,1.0,0.0,0.0,Main Controls
Purchase Order,2023-12-04,55322.0,McMaster-Carr Supply Co.,11355T25,"Vibration-Damping Routing Clamp, Zinc-Plated  Steel with TPE Rubber Cushion, 3/4"" ID",,2.0,3.55,7.1,
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,1277N714,"Corrosion-Resistant Timing Belt Pulley, XL Series, Hub, 2 Flanges, 9.5mm Maximum Belt Width, 28m...",241.309,8.0,11.49,91.92,Unwind/Punch Station
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,1277N714,"Corrosion-Resistant Timing Belt Pulley, XL Series, Hub, 2 Flanges, 9.5mm Maximum Belt Width, 28m...",<Extra>,2.0,11.49,22.98,
Purchase Order,2023-09-27,55167.0,McMaster-Carr Supply Co.,1277N717,"Corrosion-Resistant Timing Belt Pulley XL Series, Hub, 2 Flanges, 9.5mm Maximum Belt Width, 35mm OD",341.305,2.0,14.84,29.68,Spout Station
Purchase Order,2023-09-27,55167.0,McMaster-Carr Supply Co.,1277N717,"Corrosion-Resistant Timing Belt Pulley XL Series, Hub, 2 Flanges, 9.5mm Maximum Belt Width, 35mm OD",346.307,4.0,14.84,59.36,Spout Station
Purchase Order,2023-09-27,55167.0,McMaster-Carr Supply Co.,1277N717,"Corrosion-Resistant Timing Belt Pulley XL Series, Hub, 2 Flanges, 9.5mm Maximum Belt Width, 35mm OD",640.327,2.0,14.84,29.68,Cap Station
Purchase Order,2023-09-27,55167.0,McMaster-Carr Supply Co.,1277N724,"Corrosion-Resistant Timing Belt Pulley XL, Hub, 2 Flanges, 9.5mm Maximum Width, 57mm OD, 8mm Shaft",341.303,4.0,24.49,97.96,Spout Station
Purchase Order,2023-09-27,55167.0,McMaster-Carr Supply Co.,1277N725,"Corrosion-Resistant Timing Belt Pulley XL, Hub, 2 Flanges, 9.5mm Maximum Width, 57mm OD, 12mm Shaft",470.317,12.0,24.49,293.88,Side Seal Station
<Stock>,,,,1283,Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R911347141 (FWA-INDRV*-MPB-20VRS-D5-1-NNN-NN),001.301,13.0,0.0,0.0,Main Controls
<Stock>,,,,1283,Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R911347141 (FWA-INDRV*-MPB-20VRS-D5-1-NNN-NN),002.313,2.0,0.0,0.0,Unwind/Punch Station
Purchase Order,2023-12-02,55321.0,McMaster-Carr Supply Co.,1321T19,"Corrosion-Resistant 90 Degree Angle  316/316L Stainless Steel, 1/8"" Wall Thickness, 3/4"" x 3/4"",...",,1.0,45.24,45.24,
Purchase Order,2023-08-18,55060.0,Fiero Automation,14012,"9-1049430 80/20 INC, CENTRAL CONNECTOR, STEEL, SLOT 10 VERTICAL TO BARREL ( replacement for 3842...",,500.0,4.36,2180.0,
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,1432N51,"Low-Pressure Threaded Pipe Fitting with Sealant 304 Stainless Steel Bushing Adapter, 3/4 NPT Mal...",<Extra>,1.0,11.04,11.04,
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,1432N65,"Low-Pressure Threaded Pipe Fitting with Sealant 304 Stainless Steel Bushing Adapter, 1-1/2 Male ...",<Extra>,1.0,34.39,34.39,
Purchase Order,2023-10-16,55212.0,McMaster-Carr Supply Co.,1445K43,"Food Industry Bearing Grease Molykote G-0051FM, 13.4 FL. oz. Cartridge",,1.0,23.46,23.46,
<Stock>,,,,1526,"Drive package consisting of: R911397897(BRC, HCS01.1E-W0005-A-03-B-ET-EC-EP-L4-N),  R911347141 (FWA-INDRV*-MPB-20VRS-D5-1-NNN-NN)",001.302,2.0,0.0,0.0,Main Controls
Purchase Order,2023-08-31,55124.0,McMaster-Carr Supply Co.,1575A42,"Piano Hinge with Holes Anodized Aluminum, 3"" Overall Width, 0.430"" Knuckle Diameter, 3' Long",180.305,1.0,49.29,49.29,Main Frame
<Stock>,,,,1594 CYCLE START,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, CYCLE START TEXT",002.356,1.0,0.0,0.0,Unwind/Punch Station
<Stock>,,,,1594 CYCLE STOP,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, CYCLE STOP TEXT",002.357,1.0,0.0,0.0,Unwind/Punch Station
<Stock>,,,,1594-CYCLE START,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, SS,CYCLE START",009.317,1.0,0.0,0.0,Delivery/Cutoff Station
<Stock>,,,,1594-CYCLE STOP,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, SS, CYCLE STOP",009.318,1.0,0.0,0.0,Delivery/Cutoff Station
<Stock>,,,,1594-RESET,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, SS, RESET",009.319,1.0,0.0,0.0,Delivery/Cutoff Station
Purchase Order,2023-10-25,55248.0,ProAutomation,159662,"FESTO PUN-4X0.75-BL, TUBING, BLUE, 50M ROLL, SOLD BY THE METER",,50.0,0.83,41.5,
Purchase Order,2023-10-25,55248.0,ProAutomation,159663,"FESTO PUN-4X0.75-SW, TUBING, BLACK, 50M ROLL, SOLD BY THE METER",,50.0,0.83,41.5,
Purchase Order,2023-10-25,55248.0,ProAutomation,159664,"FESTO PUN-6X1-BL, TUBING, BLUE, 50M ROLL, SOLD BY THE METER",,50.0,1.2,60.0,
Purchase Order,2023-11-02,55266.0,ProAutomation,159668,"FESTO PUN-10X1.5-BL, TUBING, BLUE, 50M ROLL, SOLD BY THE METER",,50.0,2.63,131.5,
Purchase Order,2023-10-25,55248.0,ProAutomation,159670,"FESTO PUN-12X2-BL, TUBING, BLUE, 50M ROLL, SOLD BY THE METER",,50.0,3.6,180.0,
Purchase Order,2023-10-25,55248.0,ProAutomation,159671,"FESTO PUN-12X2-SW, TUBING, BLACK, 50M ROLL, SOLD BY THE METER",,50.0,3.6,180.0,
Purchase Order,2023-10-25,55248.0,ProAutomation,159674,"FESTO PUN-4X0.75-DUO-BS, DUO TUBING, 50M ROLL, SOLD BY THE METER",,50.0,1.89,94.5,
Purchase Order,2023-10-25,55248.0,ProAutomation,159675,"FESTO PUN-6X1-DUO-BS, DUO TUBING, 50M ROLL, SOLD BY THE METER",,50.0,2.91,145.5,
Purchase Order,2023-10-25,55248.0,ProAutomation,159676,"FESTO PUN-8X1.25-DUO-BS, DUO TUBING, 50M ROLL, SOLD BY THE METER",,50.0,4.39,219.49999999999997,
Purchase Order,2023-08-23,55079.0,Motion Industries,16004-A-2Z,"Ball Bearing, Shielded, Trade No. 16004-2Z, for 20 mm Shaft Diameter",341.323,4.0,27.09,108.36,Spout Station
Purchase Order,2023-08-23,55079.0,Motion Industries,16004-A-2Z,"Ball Bearing, Shielded, Trade No. 16004-2Z, for 20 mm Shaft Diameter",530.308,4.0,27.09,108.36,Cross Seal Station
Purchase Order,2023-08-23,55079.0,Motion Industries,16004-A-2Z,"Ball Bearing, Shielded, Trade No. 16004-2Z, for 20 mm Shaft Diameter",640.317,4.0,27.09,108.36,Cap Station
<Stock>,,,,1610 1.50,"XL, Hub, 2 Flanges, 9.5mm Maximum Width, 57mm OD, 12mm Shaft",130.313,0.0,0.0,0.0,Main Frame
<Stock>,,,,1610 1.50,"XL, Hub, 2 Flanges, 9.5mm Maximum Width, 57mm OD, 12mm Shaft",132.302,5.0,0.0,0.0,Main Frame
<Stock>,,,,1610 1.50,"XL, Hub, 2 Flanges, 9.5mm Maximum Width, 57mm OD, 12mm Shaft",230.317,0.0,0.0,0.0,Unwind/Punch Station
<Stock>,,,,1610 40MM,Gates 1610 40MM - 78581640 Taper-Lock Bushings,133.302,5.0,0.0,0.0,Main Frame
Purchase Order,2023-08-23,55079.0,Motion Industries,180XL037,XL Series Timing Belt Trade No. 180xL037,241.307,2.0,5.97,11.94,Unwind/Punch Station
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,1909A59,"Adhesive-Back Ruler Reads Left to Right, Yellow Steel, 3 M Length, 1/4"" Width",651.305,2.0,13.45,26.9,Cap Station
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,1909A59,"Adhesive-Back Ruler Reads Left to Right, Yellow Steel, 3 M Length, 1/4"" Width",652.305,2.0,13.45,26.9,Cap Station
Purchase Order,2023-08-23,55079.0,Motion Industries,1AM030AFXK,"Flange-Mount Shaft Collar for 30 mm Diameter, Black-Oxide 1117 Carbon Steel",<Extra>,14.0,65.21,912.9399999999999,
Purchase Order,2023-09-27,55171.0,Motion Industries,1AM030AFXK,"Flange-Mount Shaft Collar for 30 mm Diameter, Black-Oxide 1117 Carbon Steel",<Extra>,0.0,65.21,0.0,
Purchase Order,2023-08-23,55079.0,Motion Industries,1LM030AFXK,30MM FLG LOCK COLLAR,<Extra>,14.0,65.21,912.9399999999999,
Purchase Order,2023-08-24,55073.0,"AAP Automation, Inc.",201558,Dorner Adjustable height mounting brackeT,811.301,4.0,154.83,619.32,Delivery/Cutoff Station
Purchase Order,2023-10-03,55182.0,"AAP Automation, Inc.",2066626,SICK BEF-KHZR085MPA Mounting Bracket for MPA Cylinder Sensor,216.315,4.0,6.87,27.48,Unwind/Punch Station
<Stock>,,,,206685,DORNER M6 TWIST-IN T-NUT,332.312,4.0,0.0,0.0,Spout Station
<Stock>,,,,206685,DORNER M6 TWIST-IN T-NUT,333.312,4.0,0.0,0.0,Spout Station
<Stock>,,,,206685,DORNER M6 TWIST-IN T-NUT,334.307,4.0,0.0,0.0,Spout Station
<Stock>,,,,206685,DORNER M6 TWIST-IN T-NUT,632.317,2.0,0.0,0.0,Cap Station
<Stock>,,,,206685,DORNER M6 TWIST-IN T-NUT,633.317,4.0,0.0,0.0,Cap Station
<Stock>,,,,206685,DORNER M6 TWIST-IN T-NUT,634.309,4.0,0.0,0.0,Cap Station
<Stock>,,,,22198,Dienes 022198 MALE/FEMALE ADAPTER,730.302,1.0,0.0,0.0,Delivery/Cutoff Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22EDM03-050460B010101,"Dorner Drive Conveyor  2200 Series end drive conveyor with V-guide belt  tracking, 2.75in (70mm)...",332.301,1.0,1231.51,1231.51,Spout Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22EDM03-050460B010101,"Dorner Drive Conveyor  2200 Series end drive conveyor with V-guide belt  tracking, 2.75in (70mm)...",632.301,1.0,1231.51,1231.51,Cap Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22EDM03-068360C010101,"Dorner End Drive Conveyor  2200 Series end drive conveyor with V-guide belt  tracking, 2.75in (7...",333.301,1.0,1347.71,1347.71,Spout Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22EDM03-068360C010101,"Dorner End Drive Conveyor  2200 Series end drive conveyor with V-guide belt  tracking, 2.75in (7...",633.301,1.0,1347.71,1347.71,Cap Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22M6BESD-2828,Dorner Bottom Mount Pkg  2200 Series Standard Load 90 Degree bottom  mount package for a mid dri...,334.302,1.0,379.72,379.72,Spout Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22M6BESD-2828,Dorner Bottom Mount Pkg  2200 Series Standard Load 90 Degree bottom  mount package for a mid dri...,634.302,1.0,379.72,379.72,Cap Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22MDM03-0252400D010101,"2200 Series mid drive conveyor  V-guide belt tracking, 2.75in (70mm) wide x  2.52ft (768mm) long...",334.301,1.0,1828.08,1828.08,Spout Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22MDM03-0252400D010101,"2200 Series mid drive conveyor  V-guide belt tracking, 2.75in (70mm) wide x  2.52ft (768mm) long...",634.301,1.0,1828.08,1828.08,Cap Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22MFES03B-2816,Dorner Bottom Mount Pkg  2200 Series Standard Load 90 Degree flush  Bottom mount package for a e...,332.302,1.0,409.81,409.81,Spout Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22MFES03B-2816,Dorner Bottom Mount Pkg  2200 Series Standard Load 90 Degree flush  Bottom mount package for a e...,632.302,1.0,409.81,409.81,Cap Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22MFES03C-2816,Dorner Bottom Mount Pkg 6/19/2023 00:00:00  2200 Series Standard Load 90 Degree flush  Bottom mo...,333.302,1.0,409.81,409.81,Spout Station
Purchase Order,2023-06-08,54924.0,"AAP Automation, Inc.",22MFES03C-2816,Dorner Bottom Mount Pkg 6/19/2023 00:00:00  2200 Series Standard Load 90 Degree flush  Bottom mo...,633.302,1.0,409.81,409.81,Cap Station
Purchase Order,2023-02-24,54758.0,"American Feeding Systems, Inc.",2301-136Rev.3,Bowl Feeder Assembly per AFS Quote 2301-136Rev.3,320.303,1.0,39010.0,39010.0,Spout Station
Purchase Order,2023-02-24,54758.0,"American Feeding Systems, Inc.",2301-137Rev.3,Bowl Feeder Assembly per AFS Quote 2301-137Rev.3,620.303,1.0,34286.0,34286.0,Cap Station
Purchase Order,2023-08-24,55075.0,Elesa USA Corp.,234011-C1,ELESA ERX.30 p-M5x20-C1,634.307,4.0,1.89,7.56,Cap Station
Purchase Order,2023-08-24,55075.0,Elesa USA Corp.,238137-C1,"ELESA ERZ.44p-M5x20-C1 Adjustable Handle for M5 Screw, 20mm Screw L",632.313,4.0,3.4,13.6,Cap Station
Purchase Order,2023-08-24,55075.0,Elesa USA Corp.,238137-C1,"ELESA ERZ.44p-M5x20-C1 Adjustable Handle for M5 Screw, 20mm Screw L",633.313,8.0,3.4,27.2,Cap Station
Purchase Order,2023-08-24,55075.0,Elesa USA Corp.,238141-C1,"ELESA ERZ.44p-M5x32-C1 Adjustable Handle for M5 Screw, 32mm Screw L",632.314,2.0,3.55,7.1,Cap Station
Purchase Order,2023-08-24,55075.0,Elesa USA Corp.,238141-C1,"ELESA ERZ.44p-M5x32-C1 Adjustable Handle for M5 Screw, 32mm Screw L",633.314,2.0,3.55,7.1,Cap Station
Purchase Order,2023-11-13,55288.0,Elesa USA Corp.,238141-C1,"ELESA ERZ.44p-M5x32-C1 Adjustable Handle for M5 Screw, 32mm Screw L",<Extra>,8.0,3.36,26.88,
Purchase Order,2023-08-23,55079.0,Motion Industries,250XL037,XL Series Timing Belt Trade No. 250xL037,<Extra>,1.0,6.93,6.93,
Purchase Order,2023-10-06,55195.0,Elesa USA Corp.,260411-C1,ELESA 260411-C1 Black Bridge Handle EBP.200-8-C1,124.304,4.0,7.9,31.6,Main Frame
Purchase Order,2023-10-06,55195.0,Elesa USA Corp.,260411-C1,ELESA 260411-C1 Black Bridge Handle EBP.200-8-C1,125.304,2.0,7.9,15.8,Main Frame
Purchase Order,2023-10-06,55195.0,Elesa USA Corp.,260411-C1,ELESA 260411-C1 Black Bridge Handle EBP.200-8-C1,126.304,4.0,7.9,31.6,Main Frame
Purchase Order,2023-10-06,55195.0,Elesa USA Corp.,260411-C1,ELESA 260411-C1 Black Bridge Handle EBP.200-8-C1,127.304,4.0,7.9,31.6,Main Frame
Purchase Order,2023-10-06,55195.0,Elesa USA Corp.,260411-C1,ELESA 260411-C1 Black Bridge Handle EBP.200-8-C1,128.304,2.0,7.9,15.8,Main Frame
Purchase Order,2023-10-06,55195.0,Elesa USA Corp.,260411-C1,ELESA 260411-C1 Black Bridge Handle EBP.200-8-C1,260.305,2.0,7.9,15.8,Unwind/Punch Station
Purchase Order,2023-10-06,55195.0,Elesa USA Corp.,260411-C1,ELESA 260411-C1 Black Bridge Handle EBP.200-8-C1,270.303,2.0,7.9,15.8,Unwind/Punch Station
Purchase Order,2023-10-06,55195.0,Elesa USA Corp.,260411-C1,ELESA 260411-C1 Black Bridge Handle EBP.200-8-C1,<Extra>,2.0,7.9,15.8,
Purchase Order,2023-10-27,55253.0,McMaster-Carr Supply Co.,2614T27,"High-Temperature Silicone Rubber Sheet  2"" Wide, 1/4"" Thick, Sold by foot",,24.0,15.59,374.15999999999997,
Purchase Order,2023-03-01,54764.0,"Maxcess Americas, Inc.",270003470,"Air Shaft, Safety Chuck, IOdler Chuck:  Tidland Series 800 GX Ultra-Lightweight External Element...",,0.0,19584.54,0.0,
<Stock>,,,,2903155,TRIO-PS-2G/3AC/24DC/20 - Power supply unit,001.370,2.0,0.0,0.0,Main Controls
<Stock>,,,,2903155,TRIO-PS-2G/3AC/24DC/20 - Power supply unit,002.322,1.0,0.0,0.0,Unwind/Punch Station
<Stock>,,,,2909909,"ELECTRONIC CIRCUIT PROTECTOR, NEC CLASS 2, STATUS CONTACT, PTCB E1 24DC/1-3A NO",001.371,1.0,0.0,0.0,Main Controls
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,2977N119,"Rounded Machine Key 316 Stainless Steel, 7 mm x 8 mm, 35 mm Long",412.305,6.0,6.04,36.24,Side Seal Station
